2024-02-26 17:09:05.7592 | [7] | INFO | FuctionName=Account.Login | Start | IP=::1 | parametersInfo={"returnUrl":"/","status":"LogOff"}
2024-02-26 17:09:06.4274 | [7] | INFO | FuctionName=Account.Login | End | IP=::1 | ExpendTime=0.6827731
2024-02-26 17:13:17.1788 | [5] | INFO | FuctionName=apiPersonLocation.GetPersonData | Message={ "Name": "123", "Yest": "Jee"}
2024-02-26 17:16:47.8076 | [5] | INFO | FuctionName=apiPersonLocation.GetPersonData | Message=ExpendTime=210.6278757
2024-02-26 17:17:13.5316 | [5] | INFO | FuctionName=apiPersonLocation.GetPersonData | Message={ "Name": "陳其實", "Yest": "Jee"}
2024-02-26 17:18:34.5112 | [5] | INFO | FuctionName=apiPersonLocation.GetPersonData | Message=ExpendTime=291.6073015
2024-02-26 17:23:13.3279 | [32] | INFO | FuctionName=apiPersonData.GetPersonData | Message={ }
2024-02-26 17:23:45.9903 | [32] | INFO | FuctionName=apiPersonData.GetPersonData | Message=ExpendTime=32.6621989
2024-02-26 17:25:03.1463 | [32] | INFO | FuctionName=apiPersonData.GetPersonData | Message={ "Gender": "女"}
2024-02-26 17:25:11.6946 | [32] | INFO | FuctionName=apiPersonData.GetPersonData | Message=ExpendTime=41.2109159
2024-02-26 17:25:55.5339 | [32] | INFO | FuctionName=apiPersonData.AddPersonData | Message={ "Gender": "女"}
2024-02-26 17:25:56.2534 | [32] | ERROR | FuctionName=AddPerson | Error=System.Data.SqlClient.SqlException (0x80131904): Cannot insert the value NULL into column 'PersonID', table 'PPS_Service.dbo.PersonData'; column does not allow nulls. INSERT fails.The statement has been terminated.   於 System.Data.SqlClient.SqlConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)   於 System.Data.SqlClient.SqlInternalConnection.OnError(SqlException exception, Boolean breakConnection, Action`1 wrapCloseInAction)   於 System.Data.SqlClient.TdsParser.ThrowExceptionAndWarning(TdsParserStateObject stateObj, Boolean callerHasConnectionLock, Boolean asyncClose)   於 System.Data.SqlClient.TdsParser.TryRun(RunBehavior runBehavior, SqlCommand cmdHandler, SqlDataReader dataStream, BulkCopySimpleResultSet bulkCopyHandler, TdsParserStateObject stateObj, Boolean& dataReady)   於 System.Data.SqlClient.SqlDataReader.TryConsumeMetaData()   於 System.Data.SqlClient.SqlDataReader.get_MetaData()   於 System.Data.SqlClient.SqlCommand.FinishExecuteReader(SqlDataReader ds, RunBehavior runBehavior, String resetOptionsString, Boolean isInternal, Boolean forDescribeParameterEncryption, Boolean shouldCacheForAlwaysEncrypted)   於 System.Data.SqlClient.SqlCommand.RunExecuteReaderTds(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, Boolean async, Int32 timeout, Task& task, Boolean asyncWrite, Boolean inRetry, SqlDataReader ds, Boolean describeParameterEncryptionRequest)   於 System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method, TaskCompletionSource`1 completion, Int32 timeout, Task& task, Boolean& usedCache, Boolean asyncWrite, Boolean inRetry)   於 System.Data.SqlClient.SqlCommand.RunExecuteReader(CommandBehavior cmdBehavior, RunBehavior runBehavior, Boolean returnStream, String method)   於 System.Data.SqlClient.SqlCommand.ExecuteScalar()   於 Dapper.SqlMapper.ExecuteScalarImpl[T](IDbConnection cnn, CommandDefinition& command)   於 Dapper.SqlMapper.ExecuteScalar(IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Nullable`1 commandTimeout, Nullable`1 commandType)   於 FTC_MES_MVC.Models.DAL.dalPersonData.dalPersonData.AddPerson(PersonData p_oAdd) 於 C:\Users\N000191304\Documents\方\開發環境\personLocation-master\personlocation\FTC_MVC_Template\Models\PersonData\Dal\dalPersonData.cs: 行 139ClientConnectionId:13d5ac74-f3ac-4ca4-94c5-0a33f6822a8bError Number:515,State:2,Class:16
2024-02-26 17:25:56.3026 | [32] | INFO | FuctionName=apiPersonData.AddPersonData | Message=ExpendTime=41.9790727
2024-02-26 17:28:50.8558 | [32] | INFO | FuctionName=apiPersonData.AddPersonData | Message={ "PersonID":"N000191304", "Name":"方", "Gender": "女", "Phone":"099999", "CompanyID":"1"}
2024-02-26 17:29:09.3916 | [32] | INFO | FuctionName=apiPersonData.AddPersonData | Message=ExpendTime=60.5141653
2024-02-26 17:36:54.6163 | [64] | INFO | FuctionName=apiPersonData.GetPersonData | Message={ }
2024-02-26 17:36:58.2438 | [64] | INFO | FuctionName=apiPersonData.GetPersonData | Message=ExpendTime=64.1425112
